method_id,method_name,N,thread_count,team_count,set,run,delaylength,outerreps,exec_time_us
1,"map(tofrom: a)",1,32,132,0,0,7,0,23.007392883
1,"map(tofrom: a)",1,32,132,0,0,114,0,22.256374359
1,"map(tofrom: a)",1,32,132,0,0,3,0,21.851062775
1,"map(tofrom: a)",1,32,132,0,0,17,0,22.041797638
1,"map(tofrom: a)",1,32,132,0,0,1,0,21.958351135
1,"map(tofrom: a)",1,32,132,0,0,44,0,21.851062775
1,"map(tofrom: a)",1,32,132,0,0,294,0,21.696090698
1,"map(tofrom: a)",1,32,132,0,0,3140,0,38.695335388
1,"map(tofrom: a)",1,32,132,0,0,4,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,0,1955,0,30.446052551
1,"map(tofrom: a)",1,32,132,0,0,183,0,21.946430206
1,"map(tofrom: a)",1,32,132,0,0,8096,0,71.048736572
1,"map(tofrom: a)",1,32,132,0,0,758,0,21.898746490
1,"map(tofrom: a)",1,32,132,0,0,71,0,22.053718567
1,"map(tofrom: a)",1,32,132,0,0,2,0,22.351741791
1,"map(tofrom: a)",1,32,132,0,0,11,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,0,28,0,22.304058075
1,"map(tofrom: a)",1,32,132,0,0,5042,0,55.146217346
1,"map(tofrom: a)",1,32,132,0,0,1218,0,30.291080475
1,"map(tofrom: a)",1,32,132,0,0,472,0,22.256374359
1,"map(tofrom: a)",1,32,132,0,1,4,0,21.994113922
1,"map(tofrom: a)",1,32,132,0,1,1,0,22.256374359
1,"map(tofrom: a)",1,32,132,0,1,17,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,1,28,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,1,11,0,22.053718567
1,"map(tofrom: a)",1,32,132,0,1,3140,0,38.945674896
1,"map(tofrom: a)",1,32,132,0,1,2,0,22.196769714
1,"map(tofrom: a)",1,32,132,0,1,758,0,21.946430206
1,"map(tofrom: a)",1,32,132,0,1,1218,0,30.303001404
1,"map(tofrom: a)",1,32,132,0,1,44,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,1,71,0,22.244453430
1,"map(tofrom: a)",1,32,132,0,1,114,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,1,294,0,21.898746490
1,"map(tofrom: a)",1,32,132,0,1,7,0,22.053718567
1,"map(tofrom: a)",1,32,132,0,1,183,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,1,8096,0,71.501731873
1,"map(tofrom: a)",1,32,132,0,1,472,0,22.196769714
1,"map(tofrom: a)",1,32,132,0,1,1955,0,30.148029327
1,"map(tofrom: a)",1,32,132,0,1,3,0,22.006034851
1,"map(tofrom: a)",1,32,132,0,1,5042,0,54.943561554
1,"map(tofrom: a)",1,32,132,0,2,3,0,21.791458130
1,"map(tofrom: a)",1,32,132,0,2,44,0,21.851062775
1,"map(tofrom: a)",1,32,132,0,2,1,0,22.006034851
1,"map(tofrom: a)",1,32,132,0,2,183,0,21.851062775
1,"map(tofrom: a)",1,32,132,0,2,294,0,21.898746490
1,"map(tofrom: a)",1,32,132,0,2,5042,0,55.301189423
1,"map(tofrom: a)",1,32,132,0,2,7,0,21.994113922
1,"map(tofrom: a)",1,32,132,0,2,8096,0,71.108341217
1,"map(tofrom: a)",1,32,132,0,2,2,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,2,114,0,21.898746490
1,"map(tofrom: a)",1,32,132,0,2,71,0,22.256374359
1,"map(tofrom: a)",1,32,132,0,2,1955,0,30.148029327
1,"map(tofrom: a)",1,32,132,0,2,17,0,21.994113922
1,"map(tofrom: a)",1,32,132,0,2,472,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,2,11,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,2,1218,0,29.897689819
1,"map(tofrom: a)",1,32,132,0,2,4,0,21.851062775
1,"map(tofrom: a)",1,32,132,0,2,3140,0,38.242340088
1,"map(tofrom: a)",1,32,132,0,2,758,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,2,28,0,21.851062775
1,"map(tofrom: a)",1,32,132,0,3,11,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,3,4,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,3,5042,0,55.193901062
1,"map(tofrom: a)",1,32,132,0,3,183,0,21.910667419
1,"map(tofrom: a)",1,32,132,0,3,17,0,22.351741791
1,"map(tofrom: a)",1,32,132,0,3,3,0,21.994113922
1,"map(tofrom: a)",1,32,132,0,3,28,0,21.994113922
1,"map(tofrom: a)",1,32,132,0,3,1218,0,30.493736267
1,"map(tofrom: a)",1,32,132,0,3,114,0,22.208690643
1,"map(tofrom: a)",1,32,132,0,3,758,0,22.459030151
1,"map(tofrom: a)",1,32,132,0,3,1955,0,30.398368835
1,"map(tofrom: a)",1,32,132,0,3,472,0,22.006034851
1,"map(tofrom: a)",1,32,132,0,3,7,0,21.851062775
1,"map(tofrom: a)",1,32,132,0,3,44,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,3,3140,0,38.456916809
1,"map(tofrom: a)",1,32,132,0,3,8096,0,71.251392365
1,"map(tofrom: a)",1,32,132,0,3,71,0,22.006034851
1,"map(tofrom: a)",1,32,132,0,3,1,0,21.910667419
1,"map(tofrom: a)",1,32,132,0,3,2,0,21.946430206
1,"map(tofrom: a)",1,32,132,0,3,294,0,21.946430206
1,"map(tofrom: a)",1,32,132,0,4,3,0,21.898746490
1,"map(tofrom: a)",1,32,132,0,4,8096,0,71.251392365
1,"map(tofrom: a)",1,32,132,0,4,1,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,4,28,0,22.494792938
1,"map(tofrom: a)",1,32,132,0,4,17,0,22.006034851
1,"map(tofrom: a)",1,32,132,0,4,5042,0,54.752826691
1,"map(tofrom: a)",1,32,132,0,4,7,0,21.851062775
1,"map(tofrom: a)",1,32,132,0,4,114,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,4,44,0,22.304058075
1,"map(tofrom: a)",1,32,132,0,4,2,0,22.149085999
1,"map(tofrom: a)",1,32,132,0,4,294,0,21.946430206
1,"map(tofrom: a)",1,32,132,0,4,758,0,22.006034851
1,"map(tofrom: a)",1,32,132,0,4,183,0,22.292137146
1,"map(tofrom: a)",1,32,132,0,4,4,0,21.994113922
1,"map(tofrom: a)",1,32,132,0,4,1218,0,30.505657196
1,"map(tofrom: a)",1,32,132,0,4,71,0,22.447109222
1,"map(tofrom: a)",1,32,132,0,4,1955,0,30.303001404
1,"map(tofrom: a)",1,32,132,0,4,11,0,22.101402283
1,"map(tofrom: a)",1,32,132,0,4,472,0,22.292137146
1,"map(tofrom: a)",1,32,132,0,4,3140,0,38.599967957
1,"map(tofrom: a)",1,32,132,1,0,2,0,21.851062775
1,"map(tofrom: a)",1,32,132,1,0,4,0,21.946430206
1,"map(tofrom: a)",1,32,132,1,0,472,0,22.089481354
1,"map(tofrom: a)",1,32,132,1,0,3140,0,38.552284241
1,"map(tofrom: a)",1,32,132,1,0,183,0,22.649765015
1,"map(tofrom: a)",1,32,132,1,0,28,0,22.351741791
1,"map(tofrom: a)",1,32,132,1,0,71,0,22.208690643
1,"map(tofrom: a)",1,32,132,1,0,1218,0,30.338764191
1,"map(tofrom: a)",1,32,132,1,0,294,0,21.946430206
1,"map(tofrom: a)",1,32,132,1,0,1,0,21.600723267
1,"map(tofrom: a)",1,32,132,1,0,7,0,21.493434906
1,"map(tofrom: a)",1,32,132,1,0,1955,0,30.207633972
1,"map(tofrom: a)",1,32,132,1,0,758,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,0,114,0,22.041797638
1,"map(tofrom: a)",1,32,132,1,0,11,0,21.743774414
1,"map(tofrom: a)",1,32,132,1,0,3,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,0,8096,0,71.406364441
1,"map(tofrom: a)",1,32,132,1,0,44,0,21.994113922
1,"map(tofrom: a)",1,32,132,1,0,17,0,21.958351135
1,"map(tofrom: a)",1,32,132,1,0,5042,0,55.301189423
1,"map(tofrom: a)",1,32,132,1,1,758,0,22.006034851
1,"map(tofrom: a)",1,32,132,1,1,3,0,21.791458130
1,"map(tofrom: a)",1,32,132,1,1,3140,0,38.647651672
1,"map(tofrom: a)",1,32,132,1,1,1955,0,30.505657196
1,"map(tofrom: a)",1,32,132,1,1,44,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,1,17,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,1,294,0,22.244453430
1,"map(tofrom: a)",1,32,132,1,1,28,0,22.041797638
1,"map(tofrom: a)",1,32,132,1,1,114,0,22.053718567
1,"map(tofrom: a)",1,32,132,1,1,2,0,22.041797638
1,"map(tofrom: a)",1,32,132,1,1,7,0,21.946430206
1,"map(tofrom: a)",1,32,132,1,1,183,0,22.053718567
1,"map(tofrom: a)",1,32,132,1,1,8096,0,71.096420288
1,"map(tofrom: a)",1,32,132,1,1,11,0,22.053718567
1,"map(tofrom: a)",1,32,132,1,1,1,0,22.053718567
1,"map(tofrom: a)",1,32,132,1,1,1218,0,30.493736267
1,"map(tofrom: a)",1,32,132,1,1,472,0,21.910667419
1,"map(tofrom: a)",1,32,132,1,1,71,0,22.208690643
1,"map(tofrom: a)",1,32,132,1,1,5042,0,54.788589478
1,"map(tofrom: a)",1,32,132,1,1,4,0,21.946430206
1,"map(tofrom: a)",1,32,132,1,2,2,0,21.648406982
1,"map(tofrom: a)",1,32,132,1,2,71,0,21.803379059
1,"map(tofrom: a)",1,32,132,1,2,17,0,22.506713867
1,"map(tofrom: a)",1,32,132,1,2,472,0,22.053718567
1,"map(tofrom: a)",1,32,132,1,2,5042,0,55.050849915
1,"map(tofrom: a)",1,32,132,1,2,28,0,22.101402283
1,"map(tofrom: a)",1,32,132,1,2,44,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,2,1218,0,30.350685120
1,"map(tofrom: a)",1,32,132,1,2,4,0,22.244453430
1,"map(tofrom: a)",1,32,132,1,2,1955,0,30.243396759
1,"map(tofrom: a)",1,32,132,1,2,183,0,22.304058075
1,"map(tofrom: a)",1,32,132,1,2,7,0,22.399425507
1,"map(tofrom: a)",1,32,132,1,2,758,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,2,1,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,2,3140,0,39.100646973
1,"map(tofrom: a)",1,32,132,1,2,8096,0,71.156024933
1,"map(tofrom: a)",1,32,132,1,2,3,0,22.351741791
1,"map(tofrom: a)",1,32,132,1,2,114,0,22.196769714
1,"map(tofrom: a)",1,32,132,1,2,11,0,22.196769714
1,"map(tofrom: a)",1,32,132,1,2,294,0,22.101402283
1,"map(tofrom: a)",1,32,132,1,3,1,0,21.898746490
1,"map(tofrom: a)",1,32,132,1,3,17,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,3,294,0,22.244453430
1,"map(tofrom: a)",1,32,132,1,3,5042,0,54.895877838
1,"map(tofrom: a)",1,32,132,1,3,114,0,22.006034851
1,"map(tofrom: a)",1,32,132,1,3,28,0,21.946430206
1,"map(tofrom: a)",1,32,132,1,3,1218,0,30.350685120
1,"map(tofrom: a)",1,32,132,1,3,2,0,21.946430206
1,"map(tofrom: a)",1,32,132,1,3,3,0,22.339820862
1,"map(tofrom: a)",1,32,132,1,3,4,0,21.994113922
1,"map(tofrom: a)",1,32,132,1,3,758,0,22.351741791
1,"map(tofrom: a)",1,32,132,1,3,11,0,21.851062775
1,"map(tofrom: a)",1,32,132,1,3,44,0,21.994113922
1,"map(tofrom: a)",1,32,132,1,3,472,0,21.946430206
1,"map(tofrom: a)",1,32,132,1,3,7,0,22.149085999
1,"map(tofrom: a)",1,32,132,1,3,1955,0,30.255317688
1,"map(tofrom: a)",1,32,132,1,3,71,0,22.399425507
1,"map(tofrom: a)",1,32,132,1,3,183,0,22.196769714
1,"map(tofrom: a)",1,32,132,1,3,8096,0,71.489810944
1,"map(tofrom: a)",1,32,132,1,3,3140,0,38.599967957
1,"map(tofrom: a)",1,32,132,1,4,472,0,22.196769714
1,"map(tofrom: a)",1,32,132,1,4,71,0,21.958351135
1,"map(tofrom: a)",1,32,132,1,4,1,0,22.053718567
1,"map(tofrom: a)",1,32,132,1,4,11,0,22.101402283
1,"map(tofrom: a)",1,32,132,1,4,4,0,22.256374359
1,"map(tofrom: a)",1,32,132,1,4,3140,0,38.659572601
1,"map(tofrom: a)",1,32,132,1,4,28,0,22.101402283
1,"map(tofrom: a)",1,32,132,1,4,1218,0,30.493736267
1,"map(tofrom: a)",1,32,132,1,4,2,0,22.208690643
1,"map(tofrom: a)",1,32,132,1,4,183,0,22.101402283
1,"map(tofrom: a)",1,32,132,1,4,5042,0,54.943561554
1,"map(tofrom: a)",1,32,132,1,4,114,0,22.089481354
1,"map(tofrom: a)",1,32,132,1,4,3,0,22.292137146
1,"map(tofrom: a)",1,32,132,1,4,44,0,22.101402283
1,"map(tofrom: a)",1,32,132,1,4,758,0,22.244453430
1,"map(tofrom: a)",1,32,132,1,4,8096,0,71.346759796
1,"map(tofrom: a)",1,32,132,1,4,1955,0,30.398368835
1,"map(tofrom: a)",1,32,132,1,4,294,0,22.006034851
1,"map(tofrom: a)",1,32,132,1,4,7,0,21.946430206
1,"map(tofrom: a)",1,32,132,1,4,17,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,0,7,0,22.757053375
1,"map(tofrom: a)",4,32,132,0,0,114,0,22.304058075
1,"map(tofrom: a)",4,32,132,0,0,3,0,21.851062775
1,"map(tofrom: a)",4,32,132,0,0,17,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,0,1,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,0,44,0,22.101402283
1,"map(tofrom: a)",4,32,132,0,0,294,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,0,3140,0,38.540363312
1,"map(tofrom: a)",4,32,132,0,0,4,0,22.161006927
1,"map(tofrom: a)",4,32,132,0,0,1955,0,30.004978180
1,"map(tofrom: a)",4,32,132,0,0,183,0,21.898746490
1,"map(tofrom: a)",4,32,132,0,0,8096,0,71.501731873
1,"map(tofrom: a)",4,32,132,0,0,758,0,22.053718567
1,"map(tofrom: a)",4,32,132,0,0,71,0,21.600723267
1,"map(tofrom: a)",4,32,132,0,0,2,0,21.803379059
1,"map(tofrom: a)",4,32,132,0,0,11,0,22.053718567
1,"map(tofrom: a)",4,32,132,0,0,28,0,22.053718567
1,"map(tofrom: a)",4,32,132,0,0,5042,0,54.848194122
1,"map(tofrom: a)",4,32,132,0,0,1218,0,30.291080475
1,"map(tofrom: a)",4,32,132,0,0,472,0,21.803379059
1,"map(tofrom: a)",4,32,132,0,1,4,0,21.994113922
1,"map(tofrom: a)",4,32,132,0,1,1,0,22.041797638
1,"map(tofrom: a)",4,32,132,0,1,17,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,1,28,0,21.755695343
1,"map(tofrom: a)",4,32,132,0,1,11,0,22.447109222
1,"map(tofrom: a)",4,32,132,0,1,3140,0,38.242340088
1,"map(tofrom: a)",4,32,132,0,1,2,0,22.149085999
1,"map(tofrom: a)",4,32,132,0,1,758,0,22.399425507
1,"map(tofrom: a)",4,32,132,0,1,1218,0,30.195713043
1,"map(tofrom: a)",4,32,132,0,1,44,0,21.898746490
1,"map(tofrom: a)",4,32,132,0,1,71,0,22.399425507
1,"map(tofrom: a)",4,32,132,0,1,114,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,1,294,0,22.399425507
1,"map(tofrom: a)",4,32,132,0,1,7,0,22.053718567
1,"map(tofrom: a)",4,32,132,0,1,183,0,22.244453430
1,"map(tofrom: a)",4,32,132,0,1,8096,0,71.346759796
1,"map(tofrom: a)",4,32,132,0,1,472,0,22.149085999
1,"map(tofrom: a)",4,32,132,0,1,1955,0,30.255317688
1,"map(tofrom: a)",4,32,132,0,1,3,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,1,5042,0,55.146217346
1,"map(tofrom: a)",4,32,132,0,2,3,0,22.101402283
1,"map(tofrom: a)",4,32,132,0,2,44,0,21.803379059
1,"map(tofrom: a)",4,32,132,0,2,1,0,22.053718567
1,"map(tofrom: a)",4,32,132,0,2,183,0,22.161006927
1,"map(tofrom: a)",4,32,132,0,2,294,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,2,5042,0,54.943561554
1,"map(tofrom: a)",4,32,132,0,2,7,0,22.447109222
1,"map(tofrom: a)",4,32,132,0,2,8096,0,71.191787720
1,"map(tofrom: a)",4,32,132,0,2,2,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,2,114,0,22.351741791
1,"map(tofrom: a)",4,32,132,0,2,71,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,2,1955,0,30.159950256
1,"map(tofrom: a)",4,32,132,0,2,17,0,22.149085999
1,"map(tofrom: a)",4,32,132,0,2,472,0,22.244453430
1,"map(tofrom: a)",4,32,132,0,2,11,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,2,1218,0,30.446052551
1,"map(tofrom: a)",4,32,132,0,2,4,0,22.292137146
1,"map(tofrom: a)",4,32,132,0,2,3140,0,38.349628448
1,"map(tofrom: a)",4,32,132,0,2,758,0,22.196769714
1,"map(tofrom: a)",4,32,132,0,2,28,0,22.244453430
1,"map(tofrom: a)",4,32,132,0,3,11,0,21.898746490
1,"map(tofrom: a)",4,32,132,0,3,4,0,22.041797638
1,"map(tofrom: a)",4,32,132,0,3,5042,0,55.098533630
1,"map(tofrom: a)",4,32,132,0,3,183,0,22.101402283
1,"map(tofrom: a)",4,32,132,0,3,17,0,21.708011627
1,"map(tofrom: a)",4,32,132,0,3,3,0,22.149085999
1,"map(tofrom: a)",4,32,132,0,3,28,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,3,1218,0,29.993057251
1,"map(tofrom: a)",4,32,132,0,3,114,0,22.399425507
1,"map(tofrom: a)",4,32,132,0,3,758,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,3,1955,0,29.754638672
1,"map(tofrom: a)",4,32,132,0,3,472,0,21.445751190
1,"map(tofrom: a)",4,32,132,0,3,7,0,22.304058075
1,"map(tofrom: a)",4,32,132,0,3,44,0,21.851062775
1,"map(tofrom: a)",4,32,132,0,3,3140,0,38.552284241
1,"map(tofrom: a)",4,32,132,0,3,8096,0,71.454048157
1,"map(tofrom: a)",4,32,132,0,3,71,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,3,1,0,21.851062775
1,"map(tofrom: a)",4,32,132,0,3,2,0,22.101402283
1,"map(tofrom: a)",4,32,132,0,3,294,0,21.994113922
1,"map(tofrom: a)",4,32,132,0,4,3,0,22.101402283
1,"map(tofrom: a)",4,32,132,0,4,8096,0,71.799755096
1,"map(tofrom: a)",4,32,132,0,4,1,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,4,28,0,21.898746490
1,"map(tofrom: a)",4,32,132,0,4,17,0,21.493434906
1,"map(tofrom: a)",4,32,132,0,4,5042,0,54.550170898
1,"map(tofrom: a)",4,32,132,0,4,7,0,22.053718567
1,"map(tofrom: a)",4,32,132,0,4,114,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,4,44,0,22.304058075
1,"map(tofrom: a)",4,32,132,0,4,2,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,4,294,0,22.053718567
1,"map(tofrom: a)",4,32,132,0,4,758,0,21.791458130
1,"map(tofrom: a)",4,32,132,0,4,183,0,22.006034851
1,"map(tofrom: a)",4,32,132,0,4,4,0,21.994113922
1,"map(tofrom: a)",4,32,132,0,4,1218,0,30.505657196
1,"map(tofrom: a)",4,32,132,0,4,71,0,21.898746490
1,"map(tofrom: a)",4,32,132,0,4,1955,0,30.148029327
1,"map(tofrom: a)",4,32,132,0,4,11,0,21.946430206
1,"map(tofrom: a)",4,32,132,0,4,472,0,21.696090698
1,"map(tofrom: a)",4,32,132,0,4,3140,0,38.349628448
1,"map(tofrom: a)",4,32,132,1,0,2,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,0,4,0,22.542476654
1,"map(tofrom: a)",4,32,132,1,0,472,0,21.755695343
1,"map(tofrom: a)",4,32,132,1,0,3140,0,38.492679596
1,"map(tofrom: a)",4,32,132,1,0,183,0,22.149085999
1,"map(tofrom: a)",4,32,132,1,0,28,0,22.292137146
1,"map(tofrom: a)",4,32,132,1,0,71,0,21.946430206
1,"map(tofrom: a)",4,32,132,1,0,1218,0,30.457973480
1,"map(tofrom: a)",4,32,132,1,0,294,0,22.053718567
1,"map(tofrom: a)",4,32,132,1,0,1,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,0,7,0,22.196769714
1,"map(tofrom: a)",4,32,132,1,0,1955,0,30.148029327
1,"map(tofrom: a)",4,32,132,1,0,758,0,21.898746490
1,"map(tofrom: a)",4,32,132,1,0,114,0,22.244453430
1,"map(tofrom: a)",4,32,132,1,0,11,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,0,3,0,21.696090698
1,"map(tofrom: a)",4,32,132,1,0,8096,0,71.549415588
1,"map(tofrom: a)",4,32,132,1,0,44,0,22.053718567
1,"map(tofrom: a)",4,32,132,1,0,17,0,21.958351135
1,"map(tofrom: a)",4,32,132,1,0,5042,0,54.943561554
1,"map(tofrom: a)",4,32,132,1,1,758,0,21.743774414
1,"map(tofrom: a)",4,32,132,1,1,3,0,21.958351135
1,"map(tofrom: a)",4,32,132,1,1,3140,0,38.743019104
1,"map(tofrom: a)",4,32,132,1,1,1955,0,30.195713043
1,"map(tofrom: a)",4,32,132,1,1,44,0,21.696090698
1,"map(tofrom: a)",4,32,132,1,1,17,0,21.898746490
1,"map(tofrom: a)",4,32,132,1,1,294,0,21.803379059
1,"map(tofrom: a)",4,32,132,1,1,28,0,21.851062775
1,"map(tofrom: a)",4,32,132,1,1,114,0,21.946430206
1,"map(tofrom: a)",4,32,132,1,1,2,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,1,7,0,21.851062775
1,"map(tofrom: a)",4,32,132,1,1,183,0,22.196769714
1,"map(tofrom: a)",4,32,132,1,1,8096,0,71.454048157
1,"map(tofrom: a)",4,32,132,1,1,11,0,22.101402283
1,"map(tofrom: a)",4,32,132,1,1,1,0,21.946430206
1,"map(tofrom: a)",4,32,132,1,1,1218,0,30.207633972
1,"map(tofrom: a)",4,32,132,1,1,472,0,21.851062775
1,"map(tofrom: a)",4,32,132,1,1,71,0,21.648406982
1,"map(tofrom: a)",4,32,132,1,1,5042,0,55.801868439
1,"map(tofrom: a)",4,32,132,1,1,4,0,21.898746490
1,"map(tofrom: a)",4,32,132,1,2,2,0,21.851062775
1,"map(tofrom: a)",4,32,132,1,2,71,0,22.101402283
1,"map(tofrom: a)",4,32,132,1,2,17,0,22.399425507
1,"map(tofrom: a)",4,32,132,1,2,472,0,21.851062775
1,"map(tofrom: a)",4,32,132,1,2,5042,0,55.003166199
1,"map(tofrom: a)",4,32,132,1,2,28,0,22.256374359
1,"map(tofrom: a)",4,32,132,1,2,44,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,2,1218,0,30.446052551
1,"map(tofrom: a)",4,32,132,1,2,4,0,22.053718567
1,"map(tofrom: a)",4,32,132,1,2,1955,0,30.350685120
1,"map(tofrom: a)",4,32,132,1,2,183,0,22.101402283
1,"map(tofrom: a)",4,32,132,1,2,7,0,22.304058075
1,"map(tofrom: a)",4,32,132,1,2,758,0,21.648406982
1,"map(tofrom: a)",4,32,132,1,2,1,0,22.041797638
1,"map(tofrom: a)",4,32,132,1,2,3140,0,38.707256317
1,"map(tofrom: a)",4,32,132,1,2,8096,0,71.394443512
1,"map(tofrom: a)",4,32,132,1,2,3,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,2,114,0,22.053718567
1,"map(tofrom: a)",4,32,132,1,2,11,0,21.898746490
1,"map(tofrom: a)",4,32,132,1,2,294,0,22.149085999
1,"map(tofrom: a)",4,32,132,1,3,1,0,21.946430206
1,"map(tofrom: a)",4,32,132,1,3,17,0,22.101402283
1,"map(tofrom: a)",4,32,132,1,3,294,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,3,5042,0,55.253505707
1,"map(tofrom: a)",4,32,132,1,3,114,0,22.149085999
1,"map(tofrom: a)",4,32,132,1,3,28,0,21.898746490
1,"map(tofrom: a)",4,32,132,1,3,1218,0,30.243396759
1,"map(tofrom: a)",4,32,132,1,3,2,0,22.244453430
1,"map(tofrom: a)",4,32,132,1,3,3,0,22.101402283
1,"map(tofrom: a)",4,32,132,1,3,4,0,21.696090698
1,"map(tofrom: a)",4,32,132,1,3,758,0,22.840499878
1,"map(tofrom: a)",4,32,132,1,3,11,0,22.244453430
1,"map(tofrom: a)",4,32,132,1,3,44,0,21.958351135
1,"map(tofrom: a)",4,32,132,1,3,472,0,22.304058075
1,"map(tofrom: a)",4,32,132,1,3,7,0,21.946430206
1,"map(tofrom: a)",4,32,132,1,3,1955,0,30.553340912
1,"map(tofrom: a)",4,32,132,1,3,71,0,21.743774414
1,"map(tofrom: a)",4,32,132,1,3,183,0,22.244453430
1,"map(tofrom: a)",4,32,132,1,3,8096,0,71.346759796
1,"map(tofrom: a)",4,32,132,1,3,3140,0,39.005279541
1,"map(tofrom: a)",4,32,132,1,4,472,0,21.958351135
1,"map(tofrom: a)",4,32,132,1,4,71,0,22.053718567
1,"map(tofrom: a)",4,32,132,1,4,1,0,22.101402283
1,"map(tofrom: a)",4,32,132,1,4,11,0,22.292137146
1,"map(tofrom: a)",4,32,132,1,4,4,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,4,3140,0,38.456916809
1,"map(tofrom: a)",4,32,132,1,4,28,0,22.351741791
1,"map(tofrom: a)",4,32,132,1,4,1218,0,30.446052551
1,"map(tofrom: a)",4,32,132,1,4,2,0,22.101402283
1,"map(tofrom: a)",4,32,132,1,4,183,0,22.602081299
1,"map(tofrom: a)",4,32,132,1,4,5042,0,54.907798767
1,"map(tofrom: a)",4,32,132,1,4,114,0,22.053718567
1,"map(tofrom: a)",4,32,132,1,4,3,0,21.946430206
1,"map(tofrom: a)",4,32,132,1,4,44,0,22.101402283
1,"map(tofrom: a)",4,32,132,1,4,758,0,22.041797638
1,"map(tofrom: a)",4,32,132,1,4,8096,0,71.108341217
1,"map(tofrom: a)",4,32,132,1,4,1955,0,30.648708344
1,"map(tofrom: a)",4,32,132,1,4,294,0,21.994113922
1,"map(tofrom: a)",4,32,132,1,4,7,0,22.006034851
1,"map(tofrom: a)",4,32,132,1,4,17,0,22.053718567
1,"map(tofrom: a)",16,32,132,0,0,7,0,23.138523102
1,"map(tofrom: a)",16,32,132,0,0,114,0,22.149085999
1,"map(tofrom: a)",16,32,132,0,0,3,0,22.041797638
1,"map(tofrom: a)",16,32,132,0,0,17,0,22.399425507
1,"map(tofrom: a)",16,32,132,0,0,1,0,22.089481354
1,"map(tofrom: a)",16,32,132,0,0,44,0,21.708011627
1,"map(tofrom: a)",16,32,132,0,0,294,0,22.006034851
1,"map(tofrom: a)",16,32,132,0,0,3140,0,38.146972656
1,"map(tofrom: a)",16,32,132,0,0,4,0,21.648406982
1,"map(tofrom: a)",16,32,132,0,0,1955,0,30.207633972
1,"map(tofrom: a)",16,32,132,0,0,183,0,21.958351135
1,"map(tofrom: a)",16,32,132,0,0,8096,0,71.501731873
1,"map(tofrom: a)",16,32,132,0,0,758,0,22.101402283
1,"map(tofrom: a)",16,32,132,0,0,71,0,22.196769714
1,"map(tofrom: a)",16,32,132,0,0,2,0,22.196769714
1,"map(tofrom: a)",16,32,132,0,0,11,0,21.946430206
1,"map(tofrom: a)",16,32,132,0,0,28,0,22.149085999
1,"map(tofrom: a)",16,32,132,0,0,5042,0,55.003166199
1,"map(tofrom: a)",16,32,132,0,0,1218,0,30.350685120
